"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","19.03.2015 23:00 - 20.03.2015 00:00 (UTC)","221","n/e","n/e","2385","2246","270","n/e","n/e","n/e","","410","5173","1951","n/e","50444","n/e","n/e","0","253","n/e","1824"
"France (FR)","20.03.2015 00:00 - 20.03.2015 01:00 (UTC)","222","n/e","n/e","2348","1606","261","n/e","n/e","n/e","","2365","4833","1640","n/e","50637","n/e","n/e","0","255","n/e","1886"
"France (FR)","20.03.2015 01:00 - 20.03.2015 02:00 (UTC)","221","n/e","n/e","2356","1111","261","n/e","n/e","n/e","","2922","4568","1015","n/e","50358","n/e","n/e","0","255","n/e","1928"
"France (FR)","20.03.2015 02:00 - 20.03.2015 03:00 (UTC)","221","n/e","n/e","2361","1055","261","n/e","n/e","n/e","","3155","4379","514","n/e","50000","n/e","n/e","0","255","n/e","1967"
"France (FR)","20.03.2015 03:00 - 20.03.2015 04:00 (UTC)","221","n/e","n/e","2362","1148","261","n/e","n/e","n/e","","2985","4378","399","n/e","49811","n/e","n/e","0","254","n/e","2176"
"France (FR)","20.03.2015 04:00 - 20.03.2015 05:00 (UTC)","221","n/e","n/e","2352","1464","261","n/e","n/e","n/e","","3136","4566","522","n/e","49792","n/e","n/e","0","254","n/e","2157"
"France (FR)","20.03.2015 05:00 - 20.03.2015 06:00 (UTC)","221","n/e","n/e","2370","1780","271","n/e","n/e","n/e","","587","5004","1789","n/e","50526","n/e","n/e","27","254","n/e","2207"
"France (FR)","20.03.2015 06:00 - 20.03.2015 07:00 (UTC)","221","n/e","n/e","2377","1887","271","n/e","n/e","n/e","439","","5495","2997","n/e","50673","n/e","n/e","167","253","n/e","2330"
"France (FR)","20.03.2015 07:00 - 20.03.2015 08:00 (UTC)","221","n/e","n/e","2381","1973","270","n/e","n/e","n/e","960","","5748","3385","n/e","50918","n/e","n/e","537","252","n/e","2311"
"France (FR)","20.03.2015 08:00 - 20.03.2015 09:00 (UTC)","221","n/e","n/e","2379","1861","915","n/e","n/e","n/e","1001","","5968","3812","n/e","50691","n/e","n/e","1015","250","n/e","2104"
"France (FR)","20.03.2015 09:00 - 20.03.2015 10:00 (UTC)","221","n/e","n/e","2398","1892","1363","n/e","n/e","n/e","1363","","6153","4440","n/e","50855","n/e","n/e","643","250","n/e","2018"
"France (FR)","20.03.2015 10:00 - 20.03.2015 11:00 (UTC)","221","n/e","n/e","2357","1897","1359","n/e","n/e","n/e","1218","","5950","4350","n/e","50666","n/e","n/e","1890","247","n/e","1991"
"France (FR)","20.03.2015 11:00 - 20.03.2015 12:00 (UTC)","221","n/e","n/e","2352","1879","1362","n/e","n/e","n/e","960","","5739","4154","n/e","50303","n/e","n/e","2053","250","n/e","2023"
"France (FR)","20.03.2015 12:00 - 20.03.2015 13:00 (UTC)","221","n/e","n/e","2442","1910","1294","n/e","n/e","n/e","536","","5563","3111","n/e","50786","n/e","n/e","1950","251","n/e","1893"
"France (FR)","20.03.2015 13:00 - 20.03.2015 14:00 (UTC)","221","n/e","n/e","2562","1922","433","n/e","n/e","n/e","","875","5249","2520","n/e","50743","n/e","n/e","1829","253","n/e","1824"
"France (FR)","20.03.2015 14:00 - 20.03.2015 15:00 (UTC)","221","n/e","n/e","2818","1806","271","n/e","n/e","n/e","","1961","4998","1612","n/e","50091","n/e","n/e","1518","265","n/e","1865"
"France (FR)","20.03.2015 15:00 - 20.03.2015 16:00 (UTC)","221","n/e","n/e","3142","1844","271","n/e","n/e","n/e","","2326","4829","1335","n/e","50216","n/e","n/e","991","266","n/e","1781"
"France (FR)","20.03.2015 16:00 - 20.03.2015 17:00 (UTC)","221","n/e","n/e","3503","1943","271","n/e","n/e","n/e","","1685","5215","1876","n/e","50636","n/e","n/e","437","266","n/e","1656"
"France (FR)","20.03.2015 17:00 - 20.03.2015 18:00 (UTC)","221","n/e","n/e","3478","1715","273","n/e","n/e","n/e","288","","5866","2863","n/e","50600","n/e","n/e","108","268","n/e","1628"
"France (FR)","20.03.2015 18:00 - 20.03.2015 19:00 (UTC)","221","n/e","n/e","3550","1289","271","n/e","n/e","n/e","1245","","6332","4444","n/e","51046","n/e","n/e","31","272","n/e","1673"
"France (FR)","20.03.2015 19:00 - 20.03.2015 20:00 (UTC)","222","n/e","n/e","3601","1153","271","n/e","n/e","n/e","1300","","6203","4350","n/e","50576","n/e","n/e","0","276","n/e","1761"
"France (FR)","20.03.2015 20:00 - 20.03.2015 21:00 (UTC)","222","n/e","n/e","3607","1116","271","n/e","n/e","n/e","775","","6008","3352","n/e","50004","n/e","n/e","0","279","n/e","1653"
"France (FR)","20.03.2015 21:00 - 20.03.2015 22:00 (UTC)","222","n/e","n/e","3568","951","271","n/e","n/e","n/e","951","","6058","3628","n/e","48836","n/e","n/e","0","282","n/e","1427"
"France (FR)","20.03.2015 22:00 - 20.03.2015 23:00 (UTC)","222","n/e","n/e","3498","457","270","n/e","n/e","n/e","1408","","6027","4557","n/e","48088","n/e","n/e","0","284","n/e","1343"
"France (FR)","20.03.2015 23:00 - 21.03.2015 00:00 (UTC)","222","n/e","n/e","2680","275","280","n/e","n/e","n/e","327","","5779","3074","n/e","48085","n/e","n/e","0","285","n/e","1329"
"France (FR)","21.03.2015 00:00 - 21.03.2015 01:00 (UTC)","222","n/e","n/e","2435","92","281","n/e","n/e","n/e","114","","5293","1926","n/e","47959","n/e","n/e","0","284","n/e","1221"
"France (FR)","21.03.2015 01:00 - 21.03.2015 02:00 (UTC)","222","n/e","n/e","2405","","279","n/e","n/e","n/e","","357","4895","1570","n/e","47471","n/e","n/e","0","286","n/e","1138"
"France (FR)","21.03.2015 02:00 - 21.03.2015 03:00 (UTC)","222","n/e","n/e","2387","","280","n/e","n/e","n/e","","1868","4415","1247","n/e","47395","n/e","n/e","0","285","n/e","1181"
"France (FR)","21.03.2015 03:00 - 21.03.2015 04:00 (UTC)","222","n/e","n/e","2394","","280","n/e","n/e","n/e","","3033","4180","1333","n/e","47532","n/e","n/e","0","288","n/e","1264"
"France (FR)","21.03.2015 04:00 - 21.03.2015 05:00 (UTC)","222","n/e","n/e","2387","","279","n/e","n/e","n/e","","2819","4249","999","n/e","47110","n/e","n/e","0","289","n/e","1488"
"France (FR)","21.03.2015 05:00 - 21.03.2015 06:00 (UTC)","222","n/e","n/e","2398","","280","n/e","n/e","n/e","","1583","4516","944","n/e","47332","n/e","n/e","27","287","n/e","1484"
