"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","02.01.2022 05:00 - 02.01.2022 05:30 (UTC)","n/e","n/e","n/e","203","216","0","n/e","50","n/e","0","215","159","n/e","n/e","n/e","26","n/e","n/e","n/e","n/e","1804"
"Ireland (IE)","02.01.2022 05:30 - 02.01.2022 06:00 (UTC)","n/e","n/e","n/e","196","213","0","n/e","50","n/e","0","213","159","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","1758"
"Ireland (IE)","02.01.2022 06:00 - 02.01.2022 06:30 (UTC)","n/e","n/e","n/e","201","215","0","n/e","50","n/e","0","140","159","n/e","n/e","n/e","26","n/e","n/e","n/e","n/e","1793"
"Ireland (IE)","02.01.2022 06:30 - 02.01.2022 07:00 (UTC)","n/e","n/e","n/e","197","211","0","n/e","50","n/e","24","0","159","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","1787"
"Ireland (IE)","02.01.2022 07:00 - 02.01.2022 07:30 (UTC)","n/e","n/e","n/e","187","209","62","n/e","50","n/e","20","0","158","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","1774"
"Ireland (IE)","02.01.2022 07:30 - 02.01.2022 08:00 (UTC)","n/e","n/e","n/e","183","208","148","n/e","50","n/e","20","0","157","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","1731"
"Ireland (IE)","02.01.2022 08:00 - 02.01.2022 08:30 (UTC)","n/e","n/e","n/e","199","214","174","n/e","50","n/e","26","0","160","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","1773"
"Ireland (IE)","02.01.2022 08:30 - 02.01.2022 09:00 (UTC)","n/e","n/e","n/e","199","214","173","n/e","50","n/e","25","0","160","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1827"
"Ireland (IE)","02.01.2022 09:00 - 02.01.2022 09:30 (UTC)","n/e","n/e","n/e","187","207","165","n/e","50","n/e","19","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1903"
"Ireland (IE)","02.01.2022 09:30 - 02.01.2022 10:00 (UTC)","n/e","n/e","n/e","183","207","165","n/e","50","n/e","20","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2046"
"Ireland (IE)","02.01.2022 10:00 - 02.01.2022 10:30 (UTC)","n/e","n/e","n/e","186","208","165","n/e","50","n/e","20","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2082"
"Ireland (IE)","02.01.2022 10:30 - 02.01.2022 11:00 (UTC)","n/e","n/e","n/e","185","208","165","n/e","46","n/e","20","0","159","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2113"
