"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","22.12.2022 15:00 - 22.12.2022 16:00 (UTC)","306","n/e","n/e","490","0","n/e","n/e","n/e","n/e","558","255","1615","932","n/e","n/e","23","n/e","260","n/e","23","2002"
"Portugal (PT)","22.12.2022 16:00 - 22.12.2022 17:00 (UTC)","310","n/e","n/e","693","0","n/e","n/e","n/e","n/e","1108","303","1594","946","n/e","n/e","24","n/e","81","n/e","16","1957"
"Portugal (PT)","22.12.2022 17:00 - 22.12.2022 18:00 (UTC)","313","n/e","n/e","802","0","n/e","n/e","n/e","n/e","1714","297","1897","970","n/e","n/e","23","n/e","2","n/e","19","1958"
"Portugal (PT)","22.12.2022 18:00 - 22.12.2022 19:00 (UTC)","326","n/e","n/e","806","0","n/e","n/e","n/e","n/e","1832","63","1975","951","n/e","n/e","24","n/e","0","n/e","24","1870"
"Portugal (PT)","22.12.2022 19:00 - 22.12.2022 20:00 (UTC)","328","n/e","n/e","798","0","n/e","n/e","n/e","n/e","2203","62","1967","977","n/e","n/e","24","n/e","0","n/e","25","1776"
"Portugal (PT)","22.12.2022 20:00 - 22.12.2022 21:00 (UTC)","323","n/e","n/e","633","0","n/e","n/e","n/e","n/e","1661","62","1943","947","n/e","n/e","23","n/e","0","n/e","23","1848"
"Portugal (PT)","22.12.2022 21:00 - 22.12.2022 22:00 (UTC)","324","n/e","n/e","485","0","n/e","n/e","n/e","n/e","707","118","1660","939","n/e","n/e","23","n/e","0","n/e","20","1966"
"Portugal (PT)","22.12.2022 22:00 - 22.12.2022 23:00 (UTC)","331","n/e","n/e","497","0","n/e","n/e","n/e","n/e","679","507","1643","917","n/e","n/e","23","n/e","0","n/e","25","2137"
"Portugal (PT)","22.12.2022 23:00 - 23.12.2022 00:00 (UTC)","350","n/e","n/e","371","0","n/e","n/e","n/e","n/e","1139","489","1489","894","n/e","n/e","23","n/e","0","n/e","25","2303"
"Portugal (PT)","23.12.2022 00:00 - 23.12.2022 01:00 (UTC)","349","n/e","n/e","193","0","n/e","n/e","n/e","n/e","1051","505","1331","826","n/e","n/e","23","n/e","0","n/e","25","2556"
"Portugal (PT)","23.12.2022 01:00 - 23.12.2022 02:00 (UTC)","346","n/e","n/e","193","0","n/e","n/e","n/e","n/e","679","539","1363","855","n/e","n/e","23","n/e","0","n/e","25","2680"
"Portugal (PT)","23.12.2022 02:00 - 23.12.2022 03:00 (UTC)","343","n/e","n/e","192","0","n/e","n/e","n/e","n/e","644","619","1287","889","n/e","n/e","24","n/e","0","n/e","25","2505"
"Portugal (PT)","23.12.2022 03:00 - 23.12.2022 04:00 (UTC)","350","n/e","n/e","193","0","n/e","n/e","n/e","n/e","754","518","1279","882","n/e","n/e","23","n/e","0","n/e","25","2223"
"Portugal (PT)","23.12.2022 04:00 - 23.12.2022 05:00 (UTC)","352","n/e","n/e","193","0","n/e","n/e","n/e","n/e","894","487","1475","865","n/e","n/e","23","n/e","0","n/e","24","2172"
"Portugal (PT)","23.12.2022 05:00 - 23.12.2022 06:00 (UTC)","352","n/e","n/e","180","0","n/e","n/e","n/e","n/e","797","73","1447","904","n/e","n/e","22","n/e","0","n/e","25","2338"
